target_id,ion_label,active_component_id,counterion_component_id,target_kj_per_mol,target_j_per_mol,published_born_diameter_angstrom,expected_provider_fingerprint
figiel2025-s5-Lip-reported-average,Li+,lithium-cation,chloride-anion,-486.2,-486200,2.784,sha256:9cef6373572a729c7c3519ee04c261b4f9d821d37ae2b74dc916a4a02e863149
figiel2025-s5-Nap-reported-average,Na+,sodium-cation,chloride-anion,-381.1,-381100,3.445,sha256:e97c462061bf92d2d75622a8d025a4f7e94106edccf2c924c88142b1b6a03439
figiel2025-s5-Kp-reported-average,K+,potassium-cation,chloride-anion,-309.1,-309100,4.150,sha256:1e885c57ebf7226d28a153ad4c3afb5e9ed8786b04aa0ff1b65e776b157d67d3
figiel2025-s5-Clm-reported-average,Cl-,chloride-anion,sodium-cation,-314.9,-314900,4.100,sha256:ac5a3ee0bf044d9fc63086a41f04f7b9f34a506daf67ac9627fd082a519c62a3
figiel2025-s5-Brm-reported-average,Br-,bromide-anion,sodium-cation,-290.9,-290900,4.480,sha256:7db8316e0c2352d992c7482d4c1218463020d749d5365ec8a8f5e491643eb9b2
